n,m,k,nonzeros,sseed
100,100,5,5000,38740
i,j,x_ij
0,0,1
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,1
0,7,0
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,0
0,14,1
0,15,0
0,16,0
0,17,0
0,18,1
0,19,1
0,20,0
0,21,0
0,22,1
0,23,0
0,24,0
0,25,1
0,26,0
0,27,1
0,28,0
0,29,1
0,30,1
0,31,1
0,32,1
0,33,1
0,34,0
0,35,1
0,36,1
0,37,0
0,38,0
0,39,1
0,40,1
0,41,1
0,42,1
0,43,1
0,44,0
0,45,1
0,46,0
0,47,1
0,48,1
0,49,1
0,50,0
0,51,1
0,52,0
0,53,1
0,54,0
0,55,1
0,56,1
0,57,0
0,58,0
0,59,1
0,60,1
0,61,1
0,62,1
0,63,0
0,64,0
0,65,1
0,66,0
0,67,0
0,68,1
0,69,0
0,70,0
0,71,1
0,72,0
0,73,1
0,74,1
0,75,0
0,76,0
0,77,1
0,78,1
0,79,0
0,80,1
0,81,0
0,82,0
0,83,1
0,84,0
0,85,0
0,86,0
0,87,1
0,88,0
0,89,0
0,90,1
0,91,1
0,92,1
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,1
0,99,0
1,0,0
1,1,1
1,2,1
1,3,0
1,4,1
1,5,0
1,6,1
1,7,0
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,0
1,15,0
1,16,1
1,17,0
1,18,0
1,19,0
1,20,1
1,21,0
1,22,1
1,23,1
1,24,0
1,25,0
1,26,1
1,27,1
1,28,0
1,29,1
1,30,1
1,31,1
1,32,1
1,33,1
1,34,0
1,35,1
1,36,1
1,37,1
1,38,1
1,39,1
1,40,1
1,41,1
1,42,0
1,43,1
1,44,0
1,45,1
1,46,1
1,47,0
1,48,0
1,49,1
1,50,0
1,51,1
1,52,1
1,53,0
1,54,1
1,55,0
1,56,0
1,57,0
1,58,0
1,59,1
1,60,0
1,61,1
1,62,0
1,63,1
1,64,1
1,65,1
1,66,0
1,67,0
1,68,1
1,69,0
1,70,0
1,71,0
1,72,1
1,73,1
1,74,1
1,75,1
1,76,0
1,77,1
1,78,1
1,79,1
1,80,1
1,81,0
1,82,1
1,83,1
1,84,0
1,85,0
1,86,0
1,87,0
1,88,1
1,89,0
1,90,1
1,91,1
1,92,0
1,93,0
1,94,1
1,95,1
1,96,1
1,97,1
1,98,0
1,99,1
2,0,0
2,1,0
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,0
2,8,1
2,9,1
2,10,0
2,11,0
2,12,1
2,13,1
2,14,1
2,15,1
2,16,1
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,1
2,24,1
2,25,1
2,26,0
2,27,0
2,28,0
2,29,0
2,30,1
2,31,1
2,32,1
2,33,1
2,34,0
2,35,1
2,36,1
2,37,0
2,38,1
2,39,0
2,40,1
2,41,1
2,42,0
2,43,1
2,44,1
2,45,0
2,46,0
2,47,0
2,48,0
2,49,1
2,50,0
2,51,1
2,52,1
2,53,1
2,54,0
2,55,0
2,56,0
2,57,0
2,58,1
2,59,1
2,60,1
2,61,1
2,62,0
2,63,0
2,64,1
2,65,0
2,66,1
2,67,0
2,68,1
2,69,1
2,70,0
2,71,0
2,72,1
2,73,1
2,74,1
2,75,0
2,76,1
2,77,0
2,78,1
2,79,0
2,80,0
2,81,1
2,82,1
2,83,0
2,84,0
2,85,1
2,86,1
2,87,1
2,88,0
2,89,0
2,90,0
2,91,0
2,92,0
2,93,0
2,94,1
2,95,1
2,96,1
2,97,1
2,98,1
2,99,0
3,0,0
3,1,0
3,2,1
3,3,0
3,4,1
3,5,1
3,6,1
3,7,1
3,8,0
3,9,0
3,10,1
3,11,0
3,12,0
3,13,1
3,14,0
3,15,1
3,16,0
3,17,1
3,18,0
3,19,1
3,20,0
3,21,0
3,22,1
3,23,1
3,24,1
3,25,1
3,26,0
3,27,0
3,28,0
3,29,0
3,30,1
3,31,1
3,32,1
3,33,0
3,34,1
3,35,0
3,36,0
3,37,0
3,38,1
3,39,0
3,40,1
3,41,1
3,42,1
3,43,1
3,44,0
3,45,1
3,46,0
3,47,1
3,48,1
3,49,0
3,50,0
3,51,0
3,52,1
3,53,0
3,54,1
3,55,0
3,56,1
3,57,0
3,58,1
3,59,0
3,60,0
3,61,0
3,62,1
3,63,1
3,64,1
3,65,0
3,66,0
3,67,1
3,68,1
3,69,0
3,70,1
3,71,0
3,72,1
3,73,0
3,74,1
3,75,1
3,76,0
3,77,0
3,78,1
3,79,0
3,80,1
3,81,0
3,82,1
3,83,0
3,84,0
3,85,0
3,86,1
3,87,0
3,88,1
3,89,0
3,90,0
3,91,1
3,92,1
3,93,1
3,94,1
3,95,0
3,96,0
3,97,0
3,98,0
3,99,0
4,0,0
4,1,1
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,1
4,8,0
4,9,1
4,10,0
4,11,1
4,12,1
4,13,1
4,14,0
4,15,0
4,16,0
4,17,1
4,18,1
4,19,1
4,20,0
4,21,1
4,22,1
4,23,1
4,24,1
4,25,1
4,26,1
4,27,0
4,28,1
4,29,1
4,30,0
4,31,0
4,32,1
4,33,0
4,34,0
4,35,0
4,36,1
4,37,0
4,38,0
4,39,0
4,40,0
4,41,0
4,42,0
4,43,1
4,44,0
4,45,0
4,46,0
4,47,0
4,48,0
4,49,1
4,50,1
4,51,0
4,52,0
4,53,1
4,54,1
4,55,0
4,56,0
4,57,1
4,58,0
4,59,1
4,60,1
4,61,0
4,62,1
4,63,1
4,64,1
4,65,0
4,66,1
4,67,0
4,68,0
4,69,1
4,70,1
4,71,1
4,72,0
4,73,1
4,74,0
4,75,0
4,76,1
4,77,1
4,78,1
4,79,1
4,80,0
4,81,1
4,82,0
4,83,0
4,84,0
4,85,1
4,86,1
4,87,0
4,88,1
4,89,1
4,90,1
4,91,0
4,92,0
4,93,1
4,94,1
4,95,1
4,96,1
4,97,1
4,98,0
4,99,0
5,0,1
5,1,1
5,2,1
5,3,1
5,4,1
5,5,0
5,6,0
5,7,0
5,8,1
5,9,0
5,10,0
5,11,1
5,12,1
5,13,0
5,14,0
5,15,1
5,16,0
5,17,1
5,18,1
5,19,1
5,20,1
5,21,1
5,22,0
5,23,1
5,24,0
5,25,1
5,26,1
5,27,0
5,28,1
5,29,0
5,30,0
5,31,0
5,32,1
5,33,0
5,34,0
5,35,1
5,36,1
5,37,1
5,38,1
5,39,0
5,40,1
5,41,0
5,42,0
5,43,0
5,44,1
5,45,1
5,46,0
5,47,1
5,48,0
5,49,1
5,50,1
5,51,0
5,52,1
5,53,0
5,54,1
5,55,0
5,56,0
5,57,1
5,58,0
5,59,1
5,60,1
5,61,1
5,62,1
5,63,1
5,64,0
5,65,0
5,66,0
5,67,1
5,68,1
5,69,1
5,70,0
5,71,0
5,72,0
5,73,1
5,74,1
5,75,1
5,76,0
5,77,1
5,78,1
5,79,0
5,80,1
5,81,1
5,82,0
5,83,1
5,84,1
5,85,0
5,86,1
5,87,1
5,88,1
5,89,0
5,90,1
5,91,0
5,92,0
5,93,0
5,94,1
5,95,0
5,96,0
5,97,1
5,98,0
5,99,0
6,0,1
6,1,1
6,2,1
6,3,0
6,4,0
6,5,0
6,6,1
6,7,0
6,8,1
6,9,1
6,10,1
6,11,1
6,12,1
6,13,0
6,14,0
6,15,0
6,16,0
6,17,1
6,18,0
6,19,0
6,20,0
6,21,1
6,22,0
6,23,0
6,24,0
6,25,0
6,26,1
6,27,1
6,28,0
6,29,1
6,30,1
6,31,0
6,32,0
6,33,0
6,34,0
6,35,0
6,36,1
6,37,0
6,38,1
6,39,1
6,40,0
6,41,0
6,42,0
6,43,1
6,44,0
6,45,1
6,46,0
6,47,1
6,48,1
6,49,0
6,50,1
6,51,1
6,52,0
6,53,0
6,54,1
6,55,0
6,56,0
6,57,0
6,58,0
6,59,1
6,60,0
6,61,1
6,62,1
6,63,1
6,64,0
6,65,0
6,66,0
6,67,1
6,68,0
6,69,1
6,70,0
6,71,0
6,72,1
6,73,1
6,74,0
6,75,0
6,76,0
6,77,0
6,78,1
6,79,1
6,80,1
6,81,0
6,82,1
6,83,1
6,84,0
6,85,1
6,86,0
6,87,1
6,88,0
6,89,1
6,90,0
6,91,0
6,92,1
6,93,0
6,94,1
6,95,1
6,96,0
6,97,0
6,98,1
6,99,0
7,0,1
7,1,0
7,2,1
7,3,1
7,4,0
7,5,0
7,6,1
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,1
7,13,1
7,14,0
7,15,0
7,16,0
7,17,1
7,18,1
7,19,0
7,20,0
7,21,0
7,22,1
7,23,1
7,24,0
7,25,1
7,26,1
7,27,0
7,28,1
7,29,0
7,30,1
7,31,1
7,32,1
7,33,0
7,34,0
7,35,1
7,36,0
7,37,1
7,38,0
7,39,1
7,40,0
7,41,0
7,42,0
7,43,0
7,44,0
7,45,0
7,46,0
7,47,1
7,48,1
7,49,1
7,50,0
7,51,1
7,52,1
7,53,0
7,54,1
7,55,1
7,56,1
7,57,0
7,58,0
7,59,1
7,60,1
7,61,1
7,62,0
7,63,0
7,64,1
7,65,0
7,66,1
7,67,0
7,68,0
7,69,1
7,70,0
7,71,1
7,72,0
7,73,0
7,74,1
7,75,1
7,76,1
7,77,1
7,78,1
7,79,0
7,80,1
7,81,1
7,82,0
7,83,1
7,84,0
7,85,1
7,86,1
7,87,1
7,88,0
7,89,1
7,90,1
7,91,1
7,92,0
7,93,1
7,94,1
7,95,0
7,96,0
7,97,1
7,98,1
7,99,1
8,0,0
8,1,0
8,2,0
8,3,1
8,4,0
8,5,1
8,6,0
8,7,0
8,8,0
8,9,0
8,10,1
8,11,0
8,12,1
8,13,1
8,14,1
8,15,1
8,16,1
8,17,0
8,18,1
8,19,0
8,20,1
8,21,1
8,22,1
8,23,0
8,24,1
8,25,1
8,26,0
8,27,1
8,28,0
8,29,0
8,30,0
8,31,1
8,32,0
8,33,0
8,34,0
8,35,1
8,36,0
8,37,1
8,38,1
8,39,0
8,40,1
8,41,0
8,42,0
8,43,1
8,44,0
8,45,0
8,46,1
8,47,0
8,48,0
8,49,1
8,50,0
8,51,0
8,52,0
8,53,1
8,54,0
8,55,1
8,56,0
8,57,1
8,58,1
8,59,1
8,60,0
8,61,1
8,62,0
8,63,0
8,64,0
8,65,0
8,66,1
8,67,1
8,68,0
8,69,1
8,70,1
8,71,0
8,72,1
8,73,0
8,74,1
8,75,0
8,76,1
8,77,0
8,78,0
8,79,1
8,80,1
8,81,1
8,82,0
8,83,0
8,84,1
8,85,1
8,86,1
8,87,0
8,88,1
8,89,0
8,90,1
8,91,1
8,92,0
8,93,1
8,94,1
8,95,1
8,96,0
8,97,1
8,98,0
8,99,1
9,0,0
9,1,0
9,2,1
9,3,0
9,4,1
9,5,0
9,6,0
9,7,0
9,8,1
9,9,1
9,10,0
9,11,1
9,12,1
9,13,0
9,14,1
9,15,0
9,16,0
9,17,1
9,18,0
9,19,1
9,20,1
9,21,0
9,22,0
9,23,0
9,24,1
9,25,1
9,26,0
9,27,0
9,28,0
9,29,0
9,30,1
9,31,1
9,32,1
9,33,0
9,34,1
9,35,1
9,36,1
9,37,0
9,38,1
9,39,0
9,40,1
9,41,1
9,42,1
9,43,0
9,44,0
9,45,1
9,46,1
9,47,0
9,48,0
9,49,0
9,50,1
9,51,0
9,52,0
9,53,1
9,54,0
9,55,0
9,56,1
9,57,1
9,58,0
9,59,0
9,60,0
9,61,1
9,62,1
9,63,1
9,64,0
9,65,0
9,66,0
9,67,1
9,68,0
9,69,0
9,70,0
9,71,0
9,72,0
9,73,0
9,74,1
9,75,0
9,76,1
9,77,1
9,78,1
9,79,1
9,80,1
9,81,1
9,82,0
9,83,1
9,84,0
9,85,0
9,86,1
9,87,0
9,88,0
9,89,0
9,90,0
9,91,0
9,92,1
9,93,1
9,94,0
9,95,0
9,96,0
9,97,0
9,98,1
9,99,1
10,0,1
10,1,1
10,2,1
10,3,1
10,4,1
10,5,1
10,6,0
10,7,1
10,8,0
10,9,1
10,10,1
10,11,1
10,12,0
10,13,1
10,14,1
10,15,1
10,16,0
10,17,0
10,18,1
10,19,0
10,20,0
10,21,0
10,22,0
10,23,0
10,24,1
10,25,0
10,26,1
10,27,1
10,28,1
10,29,0
10,30,1
10,31,0
10,32,0
10,33,0
10,34,1
10,35,0
10,36,0
10,37,1
10,38,0
10,39,1
10,40,1
10,41,1
10,42,0
10,43,1
10,44,0
10,45,0
10,46,1
10,47,0
10,48,1
10,49,0
10,50,0
10,51,0
10,52,0
10,53,1
10,54,1
10,55,0
10,56,1
10,57,0
10,58,0
10,59,1
10,60,1
10,61,1
10,62,1
10,63,0
10,64,0
10,65,1
10,66,0
10,67,0
10,68,1
10,69,1
10,70,1
10,71,0
10,72,0
10,73,0
10,74,0
10,75,0
10,76,1
10,77,1
10,78,1
10,79,0
10,80,1
10,81,1
10,82,0
10,83,0
10,84,0
10,85,1
10,86,1
10,87,0
10,88,1
10,89,1
10,90,1
10,91,0
10,92,1
10,93,1
10,94,0
10,95,1
10,96,0
10,97,1
10,98,0
10,99,1
11,0,0
11,1,0
11,2,1
11,3,0
11,4,0
11,5,1
11,6,1
11,7,1
11,8,0
11,9,0
11,10,0
11,11,0
11,12,0
11,13,0
11,14,1
11,15,1
11,16,1
11,17,0
11,18,1
11,19,1
11,20,0
11,21,1
11,22,0
11,23,1
11,24,0
11,25,1
11,26,0
11,27,1
11,28,0
11,29,0
11,30,0
11,31,1
11,32,0
11,33,0
11,34,0
11,35,1
11,36,1
11,37,0
11,38,1
11,39,0
11,40,0
11,41,1
11,42,1
11,43,1
11,44,0
11,45,0
11,46,0
11,47,0
11,48,1
11,49,0
11,50,1
11,51,1
11,52,1
11,53,0
11,54,0
11,55,0
11,56,1
11,57,1
11,58,1
11,59,0
11,60,0
11,61,0
11,62,1
11,63,0
11,64,0
11,65,0
11,66,0
11,67,0
11,68,0
11,69,0
11,70,1
11,71,1
11,72,1
11,73,1
11,74,0
11,75,0
11,76,1
11,77,0
11,78,0
11,79,1
11,80,0
11,81,0
11,82,1
11,83,0
11,84,0
11,85,0
11,86,1
11,87,1
11,88,1
11,89,0
11,90,1
11,91,1
11,92,1
11,93,1
11,94,0
11,95,0
11,96,1
11,97,0
11,98,0
11,99,1
12,0,0
12,1,0
12,2,0
12,3,0
12,4,1
12,5,1
12,6,1
12,7,1
12,8,1
12,9,1
12,10,0
12,11,0
12,12,0
12,13,0
12,14,0
12,15,0
12,16,0
12,17,1
12,18,0
12,19,1
12,20,0
12,21,0
12,22,1
12,23,0
